team_name,GP,t_takelead,t_inc_dec_lead,o_takelead,o_inc_dec_lead,t_6170,o_6170,t_7180,o_7180,t_8190,o_8190,buyuk_inat,kucuk_inat,buyuk_sal,kucuk_sal,one_gec,farki_ac,golcu,yiyici
Bielefeld,14,12,13,6,5,4,1,3,3,4,2,83.3,35.7,33.3,28.6,128.6,128.6,78.6,42.9
Bochum,15,10,10,11,9,1,2,4,0,5,6,63.6,46.7,70.0,46.7,140.0,126.7,66.7,53.3
Darmstadt,14,10,2,8,5,1,0,2,2,6,3,50.0,28.6,60.0,42.9,128.6,50.0,64.3,35.7
Dynamo Dresden,15,7,7,11,13,2,3,1,4,4,5,18.2,13.3,57.1,26.7,120.0,133.3,46.7,80.0
Erzgebirge Aue,15,12,8,7,9,2,3,4,2,4,6,42.9,20.0,50.0,40.0,126.7,113.3,66.7,73.3
FC Nurnberg,15,8,7,12,12,3,1,2,4,3,8,50.0,40.0,62.5,33.3,133.3,126.7,53.3,86.7
Greuther Furth,14,9,6,6,8,1,3,1,0,2,5,16.7,7.1,44.4,28.6,107.1,100.0,28.6,57.1
Hamburger SV,15,11,18,6,6,4,2,5,1,7,3,66.7,26.7,27.3,20.0,113.3,160.0,106.7,40.0
Hannover 96,15,9,5,8,11,1,4,2,3,2,2,25.0,13.3,55.6,33.3,113.3,106.7,33.3,60.0
Heidenheim,14,5,11,10,7,2,3,2,1,8,2,60.0,42.9,0.0,0.0,107.1,128.6,85.7,42.9
Holstein Kiel,15,9,9,11,8,4,2,1,2,2,2,45.5,33.3,33.3,20.0,133.3,113.3,46.7,40.0
Karlsruher SC,15,8,9,13,11,3,4,3,2,6,5,69.2,60.0,50.0,26.7,140.0,133.3,80.0,73.3
Osnabruck,15,7,8,7,5,1,1,5,2,0,3,28.6,13.3,28.6,13.3,93.3,86.7,40.0,40.0
Regensburg,15,10,11,12,8,1,4,4,6,8,6,58.3,46.7,50.0,33.3,146.7,126.7,86.7,106.7
Sandhausen,14,7,2,10,2,3,1,0,2,3,0,60.0,42.9,42.9,21.4,121.4,28.6,42.9,21.4
Sankt Pauli,15,8,8,8,8,3,2,0,1,0,6,25.0,13.3,62.5,33.3,106.7,106.7,20.0,60.0
Stuttgart,14,11,10,6,9,1,0,2,3,6,3,33.3,14.3,27.3,21.4,121.4,135.7,64.3,42.9
Wehen Wiesbaden,15,8,10,9,18,0,1,0,3,4,7,11.1,6.7,62.5,33.3,113.3,186.7,26.7,73.3
